id;product_name;product_category;green_water;blue_water;grey_water
189;Lettuce  fresh or chilled;;133;28;77
190;Spinach N-Z spinachorache spinach (garden spinach) fresh or chilled;Spinach;118;14;160
191;Spinach  N-Z spinach and orache spinach (garden spinach)  frozen;;338;39;457
192;Tomatoes  fresh or chilled;Tomatoes;108;63;43
193;Tomato juice  concentrated;;539;316;213
194;Tomato paste;;431;253;171
195;Tomato ketchup;;270;158;107
196;Tomato puree;;360;211;142
197;Peeled tomatoes;;135;79;53
198;Tomato  dried;;2157;1265;853
199;Tomato juice unfermentednot spirited whether or not sugared or sweet;;135;79;53
200;Cauliflowers and headed broccoli  fresh or chilled;Cauliflowers and broccoli;189;21;75
201;Brussels sprouts  fresh or chilled;;189;21;75
202;Pumpkins  squash and gourds;Pumpkins  squash and gourds;228;24;84
203;Cucumbers and gherkins  fresh or chilled;Cucumbers and gherkins;206;42;105
204;Cucumbersgherkins provisionally presvd but nt f immediate consumption;;206;42;105
205;Aubergines(egg-plants)  fresh or chilled;Eggplants (aubergines);234;33;95
206;Peppers of the genus Capsicum or of the genus Pimenta fresh or chilled;Chillies and peppers  green;240;42;97
207;Onions and shallots  fresh or chilled;Onions (inc. shallots)  green;176;44;51
208;Onions provisionally preservd but nt suitable f immediate consumption;;192;88;65
209;Onions dried but not further prepared;Onions  dry;192;88;65
210;Garlic  fresh or chilled;Garlic;337;81;170
211;Garlic powder;;1297;313;655
212;Beans  shelled or unshelled  fresh or chilled;Beans  green;320;54;188
213;Beans  frozen;;456;76;269
214;Peas  shelled or unshelled  fresh or chilled;Peas  green;382;63;150
215;Peas  frozen;;546;89;215
216;String beans;String beans;301;104;143
217;Carrots and turnips  fresh or chilled;Carrots and turnips;106;28;61
218;Celery  other than celeriac  fresh or chilled;;106;28;61
219;Okra;Okra;474;36;65
220;Maize  green;Maize  green;455;157;88
221;Sweet corn  frozen;;455;157;88
222;Carobs;Carobs;4557;334;703
223;Vegetables  fresh or chilled;Vegetables fresh;205;33;101
224;Vegetables  frozen;;292;47;144
225;Mixtures of vegetables  frozen;;205;33;101
226;Vegetablesmixtures provis presvd but nt f immediate consumptn;;205;33;101
227;Vegetables and mixtures dried  but not further prepared;;584;94;288
228;Vegetable products used primarily for human consumption;;205;33;101
229;Bananas including plantains  fresh or dried;;660;97;33
230;Bananas;Bananas;660;97;33
231;Plantains;Plantains;1570;27;6
232;Oranges  fresh or dried;Oranges;401;110;49
233;Orange juice unfermentdnot spiritd whether/not sugard/sweet frozen;;729;199;90
234;Orange juice unfermentdnot spiritd whether or not sugard or sweet;;729;199;90
235;Mandarins(tangsats)clementineswilkgssim citrus hybrids fresh/drid;Tangerines  mandarins  clem.;479;118;152
236;Lemons and limes  fresh or dried;Lemons and limes;432;152;58
237;Grapefruit  fresh or dried;Grapefruit (inc. pomelos);367;85;54
238;Grapefruit juice unfermentdnot spiritd whether or not sugard or sweet;;490;114;71
239;Citrus fruits  fresh or dried;Citrus fruit;1145;62;35
240;Peel of citrus fruit/melons (watermelons) fresh frz drid/prov presvd;;1370;74;42
241;Citrus fruit juice exc mx unferment unspiritd wthr/nt sug/sweet;;1459;79;45
242;Fruitveg juice (exc mx) unferment unspiritd whether/not sug/sweet;;1459;79;45
243;Mixtures of juices unfermentdnot spiritd whether o not sugard o sweet;;1459;79;45
244;Apples  fresh;Apples;561;133;127
245;Apples  dried;;4678;1111;1058
246;Apple juice unfermentednot spiritd whether or not sugard or sweetend;;780;185;176
247;Pears and quinces  fresh;Pears;645;94;183
248;Apricots  fresh;Apricots;694;502;92
249;Apricots  dried;;2392;1730;316
250;Sour cherries;Sour cherries;1098;213;99
251;Cherries  fresh;Cherries;961;531;112
252;Cherries provisionally preservd but unsuitable f immediate consumption;;961;531;112
253;Peaches  including nectarines  fresh;Peaches and nectarines;583;188;139
254;Plums and sloes  fresh;Plums and sloes;1570;188;422
255;Prunes  dried;;4487;537;1204
256;Stone fruit;Stone fruit;868;1049;136
257;Mixtures of edible nuts or dried fruits of this chapter;;868;1049;136
258;Apricot peach/plum stoneskernels usd primly f human consumption;;868;1049;136
259;Strawberries  fresh;Strawberries;201;109;37
260;Strawberries uncookd o steamd o boild in water sweetend o not frozen;;201;109;37
261;Strawberries provis preservd but unsuitable f immediate consumption;;201;109;37
262;Raspberries  blackberries  mulberries and loganberries  fresh;Raspberries;293;53;67
263;Raspberries mulberries etc uncook steam/boil in water sweetend/nt froz;;293;53;67
264;Gooseberries;Gooseberries;487;8;31
265;Black  white or red currants and gooseberries  fresh;;457;19;23
266;Currants;Currants;457;19;23
267;Blueberries;Blueberries;341;334;170
268;Cranberries  bilberries and other fruits of the genus Vaccinium  fresh;Cranberries;91;108;77
269;Berries;Berries;200;175;74
270;Grapes  fresh;Grapes;425;97;87
271;Grapes  dried;;1700;386;347
272;Grape juice (incl grape must) unfermentunspiritd wthr/nt sug/sweet;;567;129;116
273;Grape wines  sparkling;;607;138;124
274;Grape wines incl fortgrape must unfermntd by add alc in ctnr</=2l;;494;112;101
275;Grape wines incl fortgrape must unfermntd by add alc in ctnr > 2l;;494;112;101
276;Grape must  unfermented  other than that of heading No 20.09;;494;112;101
277;Vermouthoth grape wines flav w plants o arom subst in ctnr </= 2 l;;607;138;124
278;Vermouthoth grape wines flav with plants or arom subst in ctnr > 2 l;;607;138;124
279;Fermented beverages (for example  cider  perry  mead  etc);;607;138;124
280;Spirits obtained by distilling grape wine or grape marc;;607;138;124
281;Watermelons;Watermelons;150;25;63
282;Other melons (inc.cantaloupes);Other melons (inc.cantaloupes);125;29;67
283;Figs  fresh or dried;Figs;1504;1544;227
284;Guavas  mangoes and mangosteens  fresh or dried;Mangoes  mangosteens  guavas;1314;362;124
285;Avocados  fresh or dried;Avocados;849;237;87
286;Pineapples  fresh or dried;Pineapples;215;9;31
287;Pineapple juice unfermentednot spiritd whether or not sugard or sweet;;1075;45;153
288;Dates  fresh or dried;Dates;930;1250;98
289;Cashewapple;Cashewapple;3638;34;121
290;Kiwi fruit;Kiwi fruit;307;168;38
291;Papaws (papayas)  fresh;Papayas;399;40;21
292;Fruit  tropical fresh;Fruit  tropical fresh;1455;200;172
293;Fruits  fresh;Fruit Fresh;1199;201;112
294;Fruits  dried;;4794;806;448
295;Coffee  not roasted  not decaffeinated;Coffee  green;15249;116;532
296;Coffee  not roasted  decaffeinated;;15249;116;532
297;Coffee  roasted  not decaffeinated;;18153;139;633
298;Coffee  roasted  decaffeinated;;18153;139;633
299;Cocoa beans  whole or broken  raw or roasted;Cocoa beans;19745;4;179
300;Cocoa shells  husks  skins and other cocoa waste;;2662;1;24
301;Cocoa paste not defatted;;24015;5;218
302;Cocoa paste wholly or partly defatted;;24015;5;218
303;Cocoa butter  fat and oil;;33626;7;305
304;Cocoa powder  not containing added sugar or other sweetening matter;;15492;3;141
305;Chocolate;;16805;198;193
306;Cocoa powder  containing added sugar or other sweetening matter;;15492;3;141
307;Tea;Tea;7232;898;726
308;Green tea (not fermented) in packages not exceeding 3 kg;;;898;726
309;Green tea (not fermented) in packages exceeding 3 kg;;;898;726
310;Black tea (fermented)partly fermentd tea in packages not exceedg 3 kg;;7232;898;726
311;Black tea (fermented)partly fermented tea in packages exceedg 3 kg;;7232;898;726
312;Hop cones  not ground  powdered or pelleted;Hops;2382;269;1414
313;Hop cones  ground  powdered or pelleted and lupulin;;2382;269;1414
314;Hop extract;;9528;1077;5654
315;Pepper of the genus Piper ex cubeb pepper neither crushd nor ground;Pepper (Piper spp.);6540;467;604
316;Pepper of the genus Piper  except cubeb pepper  crushed or ground;;6540;467;604
317;Fruits of the genus Capsicum or Pimenta  dried  crushed or ground;Chillies and peppers  dry;5869;1125;371
318;Vanilla beans;Vanilla;86392;39048;1065
319;Cinnamon and cinnamon-tree flowers neither crushed nor ground;Cinnamon (canella);14853;41;632
320;Cinnamon and cinnamon-tree flowers crushed or ground;;14853;41;632
321;Cloves (whole fruit  cloves and stems);Cloves;59834;30;1341
322;Nutmeg  Mace  Cardamons;Nutmeg  mace and cardamoms;30683;2623;1014
323;Anise or badian seeds;Anise  badian  fennel  corian.;5369;1865;1046
324;Coriander seeds;;5369;1865;1046
325;Ginger;Ginger;1525;40;92
326;Turmeric (curcuma);;1525;40;92
327;Curry;;1525;40;92
328;Mixtures of two/more of the prods of different headgs to this chapter;;2735;242;390
329;Spices;Spices;2735;242;390
330;Peppermint;Peppermint;206;63;19
331;Flax fibre  raw or retted;Flax fibre and tow;2637;443;401
332;Flax fibre  broken or scutched;;2637;443;401
333;Flax fibre  otherwise processed but not spun;;2866;481;436
334;Flax tow and waste (including yarn waste and garnetted stock);;581;98;88
335;True hemp fibre (Cannabis sativa l)  raw or retted;Hemp Tow Waste;1824;;624
336;True hemp fibre otherwise processd but not spun;"towwaste of true hemp""";2026;;693
337;Jute and other textile bast fibres  raw or retted;Jute;2356;33;217
338;Jute and other tex bast fib not spun;"tow and waste of these fibres""";2618;37;241
339;Other Bastfibres;Other Bastfibres;3492;200;500
340;Ramieother vegetable textile fibers  raw or processed but not spun;" tow  noilswaste of these fibres""";3712;201;595
341;Sisal;Sisal;6112;708;222
342;Sisal and other textile fibres of the genus Agave  raw;;6112;708;222
343;Sisal textile fibres processed but not spun;"towwaste of sisal fibres""";6791;787;246
344;Agave Fibres;Agave Fibres;6434;9;106
345;Abaca fibre  raw;Manila Fibre (Abaca);19376;246;766
346;Abaca fibre processed but not spun;"tow noils and waste of abaca fibres""";21529;273;851
347;Fibre Crops;Fibre Crops;5796;142;270
348;Vegetable textile fibres  raw;;5796;142;270
349;Vegetable tex fib processd nt spun;"tow noilswaste of these fibres""";6440;157;300
350;Tobacco  unmanufactured  not stemmed or stripped;Tobacco  unmanufactured;2021;205;700
351;Tobacco  unmanufactured  partly or wholly stemmed or stripped;;2021;205;700
352;Tobacco refuse;;2021;205;700
353;Natural rubber;Natural rubber;12964;361;422
